element_type,osmid,amenity,name,parking,geometry,brand,brand:wikidata,brand:wikipedia,operator,operator:wikidata,operator:wikipedia,short_name,wheelchair,addr:city,addr:housenumber,addr:postcode,addr:street,cuisine,level,phone,website,healthcare,opening_hours,brand:zh,name:en,name:zh,addr:country,branch,addr:housename,addr:unit,atm,diet:vegan,diet:vegetarian,outdoor_seating,official_name,takeaway,fixme,description,air_conditioning,delivery,diet:non-vegetarian,email,image,name:ja,opening_hours:covid19,nodes
node,5560862542,fast_food,Green Croft,,POINT (103.8524055 1.2771431),,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5855474187,cafe,Workspace Expresso Bar Financial Centre,,POINT (103.8545372 1.2788549),,,,,,,,yes,,12,,,,,,,,Mo-Fr 07:30-20:00,,,,,,,,,,,,,,,,,,,,,,,
node,5855478186,cafe,Workspace Expresso Bar Marina One,,POINT (103.8521375 1.2771878),,,,,,,,yes,,5,,Straits View,,,,,,Mo-Fr 08:00-17:00,,,,,,,,,,,,,,,,,,,,,,,
node,6361799513,restaurant,Fresh Plus,,POINT (103.8514848 1.2789839),,,,,,,,,Singapore,8,018960,Marina View,salad,2,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,
node,6366703885,restaurant,The Soup Spoon,,POINT (103.8514101 1.2789025),,,,,,,,yes,,,,,soup,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
node,6501298785,cafe,The Social Space,,POINT (103.8535407 1.2771491),,,,,,,,,,5,,Straits View,,,,,,Mo-Fr 08:00-20:00; Sa-Su 09:00-16:00,,,,,,,,,,,,,,,,,,,,,,,
node,6514811730,restaurant,Bushido,,POINT (103.8550764 1.2796199),,,,,,,,,,,,,japanese,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6514811734,restaurant,Erwin's Gastrobar,,POINT (103.8543371 1.2791705),,,,,,,,yes,,,,,,0,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
node,6514811739,restaurant,Harry's,,POINT (103.8552441 1.2797563),,,,,,,,limited,,,,,,0,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
node,6525825794,cafe,The Coffee Academïcs,,POINT (103.8536954 1.2797206),,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6771447271,cafe,Starbucks,,POINT (103.8545563 1.2788091),,,,,,,,,Singapore,#13-35,018982,"12 Marina Boulevard, Marina Bay Financial Centre Tower 3",coffee_shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6771490537,cafe,Starbucks,,POINT (103.8523142 1.277217),Starbucks,Q37158,en:Starbucks,,,,,,Singapore,#B2-08,018935,"5 Straits View, Marina One (West Tower),",coffee_shop,,,,,,,,,,,,,,,,,Starbucks Coffee,yes,,,,,,,,,,
node,6815336960,cafe,Ya Kun Kaya Toast,,POINT (103.8525114 1.2767759),Ya Kun Kaya Toast,Q8046237,en:Ya Kun Kaya Toast,,,,,,Singapore,#B2-02,018935,"5 Straits View, Marina One, The Heart",coffee_shop,,,,,,,,,,,,,,,,,,yes,Still there? Couldn't find anything online.,,,,,,,,,
node,6907482685,cafe,The Sandwich Shop,,POINT (103.8546055 1.2791391),,,,,,,,yes,,12,018982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7486075705,restaurant,Men-Men Tei,,POINT (103.8524889 1.2776802),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075706,restaurant,O'Green,,POINT (103.8524344 1.2776033),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075707,restaurant,Addictude,,POINT (103.8524638 1.2776481),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075708,cafe,Ega Juice Clinic,,POINT (103.8525137 1.2777259),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,juice bar,,,,,,,,
node,7486075709,restaurant,Kraftwich,,POINT (103.8525417 1.2777746),,,,,,,,,,,,,sandwich,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075710,restaurant,Ah Khoo,,POINT (103.8525944 1.2777226),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075711,restaurant,Little Bowl,,POINT (103.8525662 1.2778185),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075712,restaurant,Cuan Noooodle,,POINT (103.8525955 1.2778643),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075714,restaurant,MOS Burger,,POINT (103.8526862 1.2778989),,,,,,,,,,,,,burger,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075715,cafe,Fun Toast,,POINT (103.852723 1.2779519),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075716,restaurant,Baja Fresh,,POINT (103.852646 1.2779418),,,,,,,,,,,,,mexican,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075717,restaurant,Pinto Thai,,POINT (103.8526735 1.2779881),,,,,,,,,,,,,thai,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075718,restaurant,Kopi & Tarts,,POINT (103.8526969 1.2780229),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075719,restaurant,Arcade Fish Soup,,POINT (103.8527205 1.2780666),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075720,restaurant,The Daily Cut,,POINT (103.8527559 1.2781087),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075721,cafe,Jewel Coffee,,POINT (103.8528678 1.2781574),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075722,restaurant,Standing Sushi Bar,,POINT (103.8528668 1.2780626),,,,,,,,,,,,,japanese,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7486075723,restaurant,Chiak!,,POINT (103.8529346 1.278022),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075724,restaurant,A Poke Theory,,POINT (103.853058 1.278048),,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7486075725,restaurant,PizzaExpress,,POINT (103.8530101 1.2781651),PizzaExpress,Q662845,en:PizzaExpress,,,,,,Singapore,5,,Straits View,pizza,0,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
node,7897079378,restaurant,Misaki Japanese Restaurant,,POINT (103.8546382 1.2791391),,,,,,,,yes,Singapore,12,018982,Marina Boulevard,japanese;sushi;seafood,2,+65 6443 1187.,https://misakisg.com/,,"Mo-Fr 11:30-15:00,18:00-22:00; Sa 18:00-22:00",,,三崎,,,,,,,,,,yes,,"Misaki offers cozy Japanese dining at the heart of Singapore's Downtown business district, featuring kaiseki-style omakase cuisine and new seasonal creations every month.",yes,yes,yes,misaki.mbfc@gmail.com,https://misakisg.com/wp-content/uploads/2020/06/misaki2.jpg,三崎,same,
node,8596287051,cafe,Anglo Indian Cafe & Bar,,POINT (103.8523806 1.2767768),,,,,,,,,,,,,,,+6562842990,https://www.angloindian.com.sg/,,,,,,,,,,,,,,,,,,,,,,,,,
node,8596287052,restaurant,Waa Cow! Marina One,,POINT (103.8524818 1.276711),,,,,,,,,,,,,seafood,,+6598511552,https://www.waacow.sg/,,,,,,,,,,,,,,,,,,,,,,,,,
node,8642680423,clinic,Fullerton Healthcare,,POINT (103.8535499 1.2794961),,,,,,,,,,,,,,0,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,
node,8987107913,bank,DBS,,POINT (103.8543538 1.2790316),DBS Bank,Q705417,en:DBS Bank,,,,,,Singapore,12,018982,Marina Boulevard,,2,,https://www.dbs.com.sg/,,Mo-Fr 08:30-16:00; Sa 08:30-12:30,,,,,MBFC,,,,,,,,,,,,,,,,,,
way,244776199,parking,,surface,"POLYGON ((103.8561856 1.2796816, 103.8564888 1.2801568, 103.8565316 1.2801295, 103.8565758 1.2801329, 103.8566386 1.2802314, 103.8573793 1.279759, 103.856999 1.2791629, 103.8561856 1.2796816))",,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2520487306, 2520487310, 2520487308, 2520487309, 2520487311, 2520487307, 2520487305, 2520487306]"
